node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry
108,,1520493.000000,1001822.000000,,,108,"POINT (1520493.000000 1001822.000000)"
109,,1522624.000000,1001774.000000,,,109,"POINT (1522624.000000 1001774.000000)"
110,,1521875.000000,1000633.000000,,,110,"POINT (1521875.000000 1000633.000000)"
111,,1520444.000000,1000482.000000,,,111,"POINT (1520444.000000 1000482.000000)"
132,,1522266.361000,1003284.835000,,,132,"POINT (1522266.361000 1003284.835000)"
133,,1520402.000000,1003953.000000,,,133,"POINT (1520402.000000 1003953.000000)"
134,,1519317.966000,1002619.051000,,,134,"POINT (1519317.966000 1002619.051000)"
135,,1522614.000000,1002264.000000,,,135,"POINT (1522614.000000 1002264.000000)"
175,,1520519.000000,1001353.000000,,,175,"POINT (1520519.000000 1001353.000000)"
176,,1519003.000000,1001374.000000,,,176,"POINT (1519003.000000 1001374.000000)"
177,,1519014.000000,1001865.000000,,,177,"POINT (1519014.000000 1001865.000000)"
178,,1521680.000000,1001824.000000,,,178,"POINT (1521680.000000 1001824.000000)"
179,,1521696.000000,1001328.000000,,,179,"POINT (1521696.000000 1001328.000000)"
180,,1522597.000000,1001270.000000,,,180,"POINT (1522597.000000 1001270.000000)"
181,,1521839.000000,1003756.000000,,,181,"POINT (1521839.000000 1003756.000000)"
182,,1522673.000000,1003270.000000,,,182,"POINT (1522673.000000 1003270.000000)"
184,,1520839.000000,1002677.000000,,,184,"POINT (1520839.000000 1002677.000000)"
185,,1521740.000000,1002307.000000,,,185,"POINT (1521740.000000 1002307.000000)"
186,,1521698.000000,1002775.000000,,,186,"POINT (1521698.000000 1002775.000000)"
187,,1522629.000000,1002765.000000,,,187,"POINT (1522629.000000 1002765.000000)"
100000,,1522861.781000,1002980.753000,,,187,"POINT (1522861.781000 1002980.753000)"
100010,,1522429.208000,1002522.668000,,,185,"POINT (1522429.208000 1002522.668000)"
100011,,1522640.668000,1002519.222000,,,135,"POINT (1522640.668000 1002519.222000)"
100012,,1522860.615000,1002510.608000,,,135,"POINT (1522860.615000 1002510.608000)"
100024,,1522864.000000,1002264.000000,,,135,"POINT (1522864.000000 1002264.000000)"
100025,,1522426.067000,1002263.968000,,,185,"POINT (1522426.067000 1002263.968000)"
100026,,1522421.055000,1002003.079000,,,178,"POINT (1522421.055000 1002003.079000)"
100027,,1522645.373000,1002001.764000,,,109,"POINT (1522645.373000 1002001.764000)"
100028,,1522858.975000,1001998.192000,,,109,"POINT (1522858.975000 1001998.192000)"
100038,,1522854.000000,1001754.000000,,,109,"POINT (1522854.000000 1001754.000000)"
100039,,1522411.434000,1001766.444000,,,178,"POINT (1522411.434000 1001766.444000)"
100040,,1522413.235000,1001517.745000,,,179,"POINT (1522413.235000 1001517.745000)"
100041,,1522603.035000,1001517.234000,,,180,"POINT (1522603.035000 1001517.234000)"
100042,,1522847.225000,1001509.648000,,,180,"POINT (1522847.225000 1001509.648000)"
100052,,1522403.220000,1001002.564000,,,110,"POINT (1522403.220000 1001002.564000)"
100053,,1522836.717000,1000997.392000,,,110,"POINT (1522836.717000 1000997.392000)"
100064,,1522396.801000,1000625.066000,,,110,"POINT (1522396.801000 1000625.066000)"
100065,,1522382.659000,999911.375000,,,94,"POINT (1522382.659000 999911.375000)"
100066,,1522848.637000,1000094.391000,,,94,"POINT (1522848.637000 1000094.391000)"
100163,,1521449.000000,1003813.000000,,,181,"POINT (1521449.000000 1003813.000000)"
100165,,1521206.675000,1002548.858000,,,184,"POINT (1521206.675000 1002548.858000)"
100178,,1521279.811000,1000581.167000,,,111,"POINT (1521279.811000 1000581.167000)"
100179,,1520431.351000,999712.938000,,,111,"POINT (1520431.351000 999712.938000)"
100192,,1522110.254000,1000135.979000,,,110,"POINT (1522110.254000 1000135.979000)"
100248,,1522126.939000,1001522.121000,,,179,"POINT (1522126.939000 1001522.121000)"
100249,,1522142.873000,1002011.320000,,,178,"POINT (1522142.873000 1002011.320000)"
100250,,1522391.488000,1000375.522000,,,110,"POINT (1522391.488000 1000375.522000)"
100251,,1522837.778000,1000543.245000,,,110,"POINT (1522837.778000 1000543.245000)"
100252,,1522143.491000,1002527.763000,,,185,"POINT (1522143.491000 1002527.763000)"
100253,,1522159.550000,1002992.905000,,,186,"POINT (1522159.550000 1002992.905000)"
100254,,1522160.051000,1003290.151000,,,132,"POINT (1522160.051000 1003290.151000)"
100255,,1522100.000000,1000948.000000,,,110,"POINT (1522100.000000 1000948.000000)"
